symbol,input,status,error,effective_preset,curve_kind,primary_curve_kind,resolved_config,used_fallback,scored_quotes,market_in_band_fraction,market_worst_in_band_fraction,market_reduced_chi_square,market_vol_rmse,market_bid_misses,market_ask_misses,market_max_price_error,calendar_violations,calendar_arb_free,validation_mask,admission_mask,arbitrage_mask,valued_options,fast_candidate_quotes,fast_representative_routes,fast_cold_fallbacks,fast_vs_cold_scored,fast_vs_cold_failures,fast_vs_cold_greek_scored,fast_vs_cold_greek_failures,fast_vs_cold_price_error_p50,fast_vs_cold_price_error_p95,fast_vs_cold_price_error_max,fast_vs_cold_delta_error_p50,fast_vs_cold_delta_error_p95,fast_vs_cold_delta_error_max,fast_vs_cold_gamma_error_p50,fast_vs_cold_gamma_error_p95,fast_vs_cold_gamma_error_max,fast_vs_cold_theta_error_p50,fast_vs_cold_theta_error_p95,fast_vs_cold_theta_error_max,fast_vs_cold_vega_error_p50,fast_vs_cold_vega_error_p95,fast_vs_cold_vega_error_max,fast_vs_cold_price_sign_flips,fast_vs_cold_delta_sign_flips,fast_vs_cold_theta_sign_flips,fast_vs_cold_vega_sign_flips,fast_negative_prices,fast_vs_cold_half_spread_passes,fast_vs_cold_half_tick_passes,fast_vs_cold_economic_gate_passes,fast_vs_cold_half_spread_pass_fraction,fast_vs_cold_half_tick_pass_fraction,fast_vs_cold_economic_gate_fraction,fast_representative_route_fraction,fast_screen_safe_fraction,fast_gate_option_tick,fast_gate_half_tick,fast_gate_vega_fraction,fast_point_limit,fast_greek_sample_limit,mode,full_chain_valuation,fast_sample_coverage_fraction
CIEN,universe/CIEN/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,1071,0.99822255291005291,0.984375,0.048134858710059958,0.036255724842033557,1,1,0.48250296655542257,25,0,0,0,32,2818,2529,2017,512,64,0,64,0,0.00090372099943669681,0.32298340177732143,0.80027928657750635,1.7273644067894445e-05,0.0017789074018635942,0.0054670095929105211,1.8666349324862521e-07,4.9381480280426574e-05,0.00041269490632827476,0.017886921810543299,0.48359738924384033,23.706152796436047,0.0082196120118851468,1.7445576380867089,3.8201826212803098,0,0,0,1,0,64,40,29,1,0.625,0.453125,0.79754843811783316,0.011466982997232108,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.031730292513634108
COHR,universe/COHR/2026-07-01.parquet,fit_error,NotFound: select_curve: no common prepared holdout keys,robust,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,
COIN,universe/COIN/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,1205,0.95203431791691884,0.6097560975609756,0.5095592725685355,0.12213199492969386,36,12,0.12224243900980758,35,0,0,0,32,3068,2739,1629,1110,64,0,64,0,0.0054399604958916825,0.37190311797456843,0.54078040050106324,9.6301688280370223e-05,0.0098421459087533192,0.014167937176262191,6.9185402925843985e-06,0.00046881106842763462,0.0025372490047366539,0.020132620070357987,1.6242472792497935,12.83033884066325,0.010355212572334516,0.75467745070448622,2.2026948801817383,0,0,0,1,0,64,31,17,1,0.484375,0.265625,0.5947426067907996,0.0062066447608616279,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.039287906691221605
COST,universe/COST/2026-07-01.parquet,ok,,robust,svi,svi,curve=svi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,670,0.32550055617352613,0,83.771964903483664,0.097148042301671331,0,419,40.629738199335428,0,1,0,0,0,3452,2918,2749,169,64,0,64,0,3.7632592437830681e-06,0.54903505703032351,2.0472109216430567,4.8460443554665389e-06,0.0075158863035742485,0.017543060318828962,2.0747392676101484e-07,0.00033576738233361014,0.0014611580838939592,0.016502375287927862,3.8181312185599836,31.445995157438198,0.0010428776863022904,10.574899961640845,25.974688201897948,0,0,1,2,0,64,37,32,1,0.578125,0.5,0.94208361891706649,0.010966415352981495,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.023281193161149509
CRCL,universe/CRCL/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,738,0.95086871208202572,0.6071428571428571,0.28022344933769472,0.078248469950966348,18,12,0.1071779633130685,19,0,0,0,32,1750,1613,1002,611,64,0,64,0,0.0090115585085364103,0.1757160958205759,0.58147291632482734,0.00049117474717785825,0.0070591891555814579,0.015794718992351742,2.5451360855872213e-05,0.00086573804528012645,0.001508171605493856,0.031873309458522847,1.4836705164255619,6.0689377636738087,0.018296979230864707,0.27280214947777992,0.75711322073010479,0,0,0,3,0,64,26,15,1,0.40625,0.234375,0.62120272783632979,0.009299442033477991,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.063872255489021951
CRDO,universe/CRDO/2026-07-01.parquet,fit_error,NotFound: select_curve: no common prepared holdout keys,robust,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,
CRM,universe/CRM/2026-07-01.parquet,ok,,robust,svi,svi,curve=svi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,297,0.79261704681872747,0,16.968862619986933,0.023461521286780036,2,58,3.0880661304171886,0,1,0,0,0,1638,1408,1206,202,64,0,64,0,4.6600631781641699e-05,0.27032236187851311,0.99110188688166545,9.1711713896798844e-06,0.0091125229730210089,0.016921575489560414,1.5366698090657493e-06,0.0011082440845812862,0.003162092377238716,0.0037801888194479716,2.4385436885740344,5.9655864989621508,0.00095585185427893293,1.4122831322722931,2.6137774534211005,0,0,3,5,0,64,39,31,1,0.609375,0.484375,0.85653409090909094,0.022017045454545456,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.05306799336650083
CRWD,universe/CRWD/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,1586,0.85049076577059868,0.27710843373493976,0.64802709649093815,0.038811991136744453,58,168,5.2913359743356878,67,0,0,0,32,4136,3654,2961,693,64,0,64,0,1.1368683772161603e-13,0.24375630281375038,0.77513614472877634,2.3355266748348313e-06,0.0032842106428759843,0.0076695858896162483,5.4429475994030585e-08,0.00017136740449258305,0.00040297560708416757,0.009291587755903663,35.234499945088714,908.10713714596932,8.6967915308377997e-05,1.2385421009608422,3.1342693570894653,0,0,0,2,0,64,41,35,1,0.640625,0.546875,0.81034482758620685,0.0095785440613026813,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.021614319486659914
CRWV,universe/CRWV/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,940,0.91220895063148166,0.17391304347826086,1.2838173781185913,0.02907558299159967,32,49,1.4639018174562479,46,0,0,0,32,2032,1956,1616,340,64,0,64,0,8.4206802571928918e-05,0.049897930246608269,0.22173014709430561,2.4036978818198218e-06,0.0027717505718669599,0.0075018015301732133,3.5012122390366135e-06,0.00090667043883222885,0.0077119534740007272,0.0010736185655204622,0.31376405866153689,4.427897549817315,0.00039842501036346789,0.42503076274895335,1.1628393062361368,0,0,0,2,0,64,46,31,1,0.71875,0.484375,0.82617586912065444,0.015848670756646217,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.039603960396039604
CSCO,universe/CSCO/2026-07-01.parquet,ok,,robust,svi,svi,curve=svi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,365,0.78176603974923287,0,14.590063418029215,0.048209207908528964,13,62,3.1927608333587472,0,1,0,0,0,1408,1225,1115,110,64,0,64,0,0.0013785025982278043,0.14143979727963796,0.23996188859130285,0.00025554897753776729,0.0055985517191338152,0.010764516491204801,1.3990799560548162e-05,0.00070789466933665005,0.0035510098300083814,0.020165673847918342,2.0148016925489891,17.787655340480534,0.011155639358104881,0.38622203868706606,0.58869485383917652,0,0,1,5,0,64,38,22,1,0.59375,0.34375,0.91020408163265309,0.017959183673469388,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.057399103139013453
CVX,universe/CVX/2026-07-01.parquet,ok,,robust,svi,svi,curve=svi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,161,0.35499999999999998,0,160.76342420790166,0.068657357948060591,0,109,5.0998099256163334,0,1,0,0,0,1048,823,758,65,64,0,64,0,0.007999957734080354,0.38525796576082172,0.54846860469213254,0.00052351132939965073,0.010286071553790799,0.047060364294160384,6.0306202350991257e-05,0.0011268886805581649,0.004079911850744568,0.024619359220544368,9.6916416542717396,14.466732837655133,0.054417479719313988,2.0542659405780892,8.7609975258877242,0,0,2,8,0,64,31,6,1,0.484375,0.09375,0.92102065613608752,0.0072904009720534627,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.084432717678100261
